game;date;ball1;ball2;ball3;ball4;ball5;ball6
1606;27.08.2016;30;26;13;14;50;11
1605;24.08.2016;4;33;34;46;38;23
1604;20.08.2016;45;7;5;11;47;8
1603;17.08.2016;23;17;5;46;42;3
1602;13.08.2016;35;21;10;45;34;43
1601;10.08.2016;25;22;2;40;50;37
1600;06.08.2016;25;47;26;3;34;51
1599;03.08.2016;3;20;24;45;4;48
1598;30.07.2016;2;9;31;30;47;50
1597;27.07.2016;21;24;50;13;22;42
1596;23.07.2016;39;14;16;5;23;46
1595;20.07.2016;34;36;5;30;14;6
1594;16.07.2016;21;13;40;25;20;38
1593;13.07.2016;30;23;3;52;27;41
1592;09.07.2016;18;23;19;50;32;17
1591;06.07.2016;6;16;1;32;21;50
1590;02.07.2016;27;36;37;52;29;46
1589;29.06.2016;4;25;5;48;18;34
1588;25.06.2016;32;29;3;30;18;16
1587;22.06.2016;34;28;49;17;19;14
1586;18.06.2016;52;48;41;19;43;50
1585;15.06.2016;38;12;40;30;13;26
1584;11.06.2016;38;6;37;5;49;33
1583;08.06.2016;2;3;21;14;8;6
1582;04.06.2016;34;1;4;9;23;16
1581;01.06.2016;1;20;27;18;44;25
1580;28.05.2016;41;49;14;21;19;46
1579;25.05.2016;12;5;18;16;50;6
1578;21.05.2016;6;34;28;52;29;46
1577;18.05.2016;27;6;3;34;32;9
1576;14.05.2016;15;19;4;11;24;35
1575;11.05.2016;34;33;15;45;26;38
1574;07.05.2016;15;49;32;12;3;23
1573;04.05.2016;4;44;7;8;24;41
1572;30.04.2016;40;52;29;39;3;20
1571;27.04.2016;15;3;23;19;26;36
1570;23.04.2016;41;43;46;15;3;23
1569;20.04.2016;8;17;3;33;4;41
1568;16.04.2016;39;19;8;13;29;47
1567;13.04.2016;33;8;19;30;35;44
1566;09.04.2016;51;20;7;47;39;41
1565;06.04.2016;13;48;47;2;20;31
1564;02.04.2016;13;40;24;7;18;43
1563;30.03.2016;20;52;5;13;24;43
1562;26.03.2016;32;31;49;27;44;50
1561;23.03.2016;34;3;51;20;14;44
1560;19.03.2016;42;28;31;13;11;30
1559;16.03.2016;17;22;45;36;30;7
1558;12.03.2016;11;10;21;49;18;38
1557;09.03.2016;21;43;20;23;49;19
1556;05.03.2016;21;26;6;14;22;35
1555;02.03.2016;16;22;35;44;27;49
1554;27.02.2016;29;50;11;52;39;2
1553;24.02.2016;50;47;1;36;3;48
1552;20.02.2016;27;22;13;11;15;23
1551;17.02.2016;51;22;30;9;12;21
1550;13.02.2016;21;17;15;47;16;49
1549;10.02.2016;28;11;43;23;13;22
1548;06.02.2016;14;28;9;35;44;1
1547;03.02.2016;1;3;52;4;8;27
1546;30.01.2016;34;29;49;35;51;50
1545;27.01.2016;17;33;38;31;27;44
1544;23.01.2016;22;15;25;3;21;33
1543;20.01.2016;28;22;25;6;1;10
1542;16.01.2016;23;49;32;25;17;39
1541;13.01.2016;30;48;23;42;19;12
1540;09.01.2016;13;48;25;18;30;10
1539;06.01.2016;13;15;45;8;43;1
1538;02.01.2016;43;35;26;23;13;52
1537;30.12.2015;26;44;13;7;19;36
1536;26.12.2015;34;47;40;52;29;15
1535;23.12.2015;31;16;19;14;29;42
1534;19.12.2015;25;29;46;38;33;40
1533;16.12.2015;34;14;22;20;4;6
1532;12.12.2015;42;40;30;13;9;45
1531;09.12.2015;30;25;7;46;9;44
1530;05.12.2015;26;51;33;30;28;35
1529;02.12.2015;43;32;46;39;30;14
1528;28.11.2015;12;29;44;6;21;10
1527;25.11.2015;48;8;21;49;25;22
1526;21.11.2015;23;19;22;8;15;12
1525;18.11.2015;41;42;32;26;8;5
1524;14.11.2015;6;25;5;22;4;33
1523;11.11.2015;12;38;13;16;51;42
1522;07.11.2015;30;31;38;28;17;24
1521;04.11.2015;13;44;23;52;33;38
1520;31.10.2015;21;19;9;37;51;29
1519;28.10.2015;11;25;51;9;46;13
1518;24.10.2015;1;30;33;4;36;9
1517;21.10.2015;13;37;33;3;12;20
1516;17.10.2015;18;5;35;42;4;29
1515;14.10.2015;50;33;2;5;6;23
1514;10.10.2015;33;13;47;41;30;38
1513;07.10.2015;36;1;24;30;19;33
1512;03.10.2015;38;28;27;26;51;29
1511;30.09.2015;27;23;14;24;13;28
1510;26.09.2015;10;44;19;29;40;33
1509;23.09.2015;50;46;25;1;44;22
1508;19.09.2015;13;21;35;45;51;41
1507;16.09.2015;30;51;32;24;4;47
1506;12.09.2015;47;4;8;36;51;40
1505;09.09.2015;47;34;13;39;30;14
1504;05.09.2015;45;17;8;35;12;23
1503;02.09.2015;32;1;22;49;44;50
1502;29.08.2015;13;36;39;17;10;5
1501;26.08.2015;29;38;32;12;10;13
1500;22.08.2015;39;48;52;10;14;17
1499;19.08.2015;28;48;7;24;21;45
1498;15.08.2015;15;29;35;24;26;19
1497;12.08.2015;42;1;49;51;50;11
1496;08.08.2015;7;25;34;11;37;51
1495;05.08.2015;29;2;22;51;52;3
1494;01.08.2015;14;48;28;30;15;18
1493;29.07.2015;18;15;29;49;14;34
1492;25.07.2015;1;32;28;48;17;16
1491;22.07.2015;26;20;31;11;17;19
1490;18.07.2015;48;16;14;3;26;2
1489;15.07.2015;19;9;24;48;42;16
1488;11.07.2015;25;29;42;16;28;7
1487;08.07.2015;44;12;26;48;29;45
1486;04.07.2015;8;5;4;14;2;26
1485;01.07.2015;26;9;20;45;51;38
1484;27.06.2015;4;14;9;15;49;29
1483;24.06.2015;39;17;23;14;52;41
1482;20.06.2015;7;19;51;10;46;22
1481;17.06.2015;45;24;15;9;17;3
1480;13.06.2015;46;14;40;32;21;26
1479;10.06.2015;8;1;11;29;9;36
1478;06.06.2015;46;47;34;30;48;16
1477;03.06.2015;34;28;45;2;51;17
1476;30.05.2015;7;30;23;2;28;8
1475;27.05.2015;46;29;3;17;47;5
1474;23.05.2015;18;24;26;44;27;11
1473;20.05.2015;29;46;41;7;8;36
1472;16.05.2015;28;48;44;39;25;52
1471;13.05.2015;25;29;6;13;33;16
1470;09.05.2015;36;35;38;29;22;11
1469;06.05.2015;20;6;38;19;16;1
1468;02.05.2015;51;30;27;39;44;46
1467;29.04.2015;3;4;10;5;6;51
1466;25.04.2015;18;9;48;50;12;27
1465;22.04.2015;35;14;21;34;7;5
1464;18.04.2015;7;44;23;12;36;3
1463;15.04.2015;17;3;11;31;45;26
1462;11.04.2015;22;44;45;29;49;14
1461;08.04.2015;49;5;50;35;26;24
1460;04.04.2015;45;30;34;26;23;9
1459;01.04.2015;36;30;5;37;14;52
1458;28.03.2015;43;29;33;21;25;27
1457;25.03.2015;51;47;11;25;29;13
1456;21.03.2015;20;31;49;26;11;4
1455;18.03.2015;20;52;45;4;38;31
1454;14.03.2015;25;21;3;36;29;4
1453;11.03.2015;15;43;16;37;24;34
1452;07.03.2015;9;2;13;22;4;10
1451;04.03.2015;36;51;31;47;48;33
1450;28.02.2015;44;16;22;29;45;49
1449;25.02.2015;40;27;51;49;45;23
1448;21.02.2015;22;20;14;8;44;45
1447;18.02.2015;29;43;26;10;3;33
1446;14.02.2015;11;32;34;1;23;12
1445;11.02.2015;41;23;31;39;33;6
1444;07.02.2015;20;7;17;4;47;5
1443;04.02.2015;20;37;45;1;35;32
1442;31.01.2015;51;50;40;35;42;46
1441;28.01.2015;15;29;37;1;28;16
1440;24.01.2015;20;37;40;11;3;47
1439;21.01.2015;42;14;29;27;6;23
1438;17.01.2015;19;5;22;15;8;31
1437;14.01.2015;15;38;23;28;17;6
1436;10.01.2015;42;22;17;3;26;11
1435;07.01.2015;12;46;18;5;49;28
1434;03.01.2015;16;26;42;10;50;41
1433;31.12.2014;42;19;13;30;1;35
1432;27.12.2014;36;42;9;6;10;39
1431;24.12.2014;42;16;13;1;17;48
1430;20.12.2014;17;46;10;38;22;24
1429;17.12.2014;47;12;16;18;6;24
1428;13.12.2014;19;35;9;6;18;13
1427;10.12.2014;33;41;32;49;42;35
1426;06.12.2014;42;21;3;30;8;14
1425;03.12.2014;29;51;32;14;37;50
1424;29.11.2014;7;34;21;13;17;15
1423;26.11.2014;4;50;44;45;2;21
1422;22.11.2014;40;17;9;10;16;15
1421;19.11.2014;28;37;7;38;52;40
1420;15.11.2014;14;47;38;8;19;9
1419;12.11.2014;34;42;13;3;45;32
1418;08.11.2014;6;37;10;12;1;35
1417;05.11.2014;4;44;8;19;26;37
1416;01.11.2014;45;52;3;6;44;48
1415;29.10.2014;43;34;41;31;3;52
1414;25.10.2014;48;31;27;12;25;42
1413;22.10.2014;35;18;28;29;15;46
1412;18.10.2014;42;30;4;40;43;23
1411;15.10.2014;49;50;31;10;4;42
1410;11.10.2014;21;32;8;41;35;49
1409;08.10.2014;30;20;7;16;49;15
1408;04.10.2014;29;43;5;10;19;20
1407;01.10.2014;6;26;5;8;39;18
1406;27.09.2014;50;51;15;10;39;28
1405;24.09.2014;37;11;21;50;30;36
1404;20.09.2014;1;33;42;7;47;13
1403;17.09.2014;48;29;40;3;51;23
1402;13.09.2014;33;36;9;42;6;4
1401;10.09.2014;28;12;10;19;30;29
1400;06.09.2014;50;42;27;2;28;26
1399;03.09.2014;52;7;21;35;46;30
1398;30.08.2014;44;27;18;50;24;52
1397;27.08.2014;49;36;50;43;22;45
1396;23.08.2014;1;45;31;6;4;12
1395;20.08.2014;28;6;29;45;15;43
1394;16.08.2014;25;46;47;38;50;45
1393;13.08.2014;46;21;51;2;10;19
1392;09.08.2014;38;45;33;34;20;15
1391;06.08.2014;12;16;51;40;21;49
1390;02.08.2014;27;26;20;13;16;21
1389;30.07.2014;3;52;13;29;20;12
1388;26.07.2014;45;21;41;50;10;16
1387;23.07.2014;40;22;32;27;29;16
1386;19.07.2014;18;48;50;39;21;36
1385;16.07.2014;4;28;9;45;36;41
1384;12.07.2014;37;33;49;22;14;25
1383;09.07.2014;5;33;44;4;27;14
1382;05.07.2014;1;49;34;44;16;52
1381;02.07.2014;4;23;39;21;50;52
1380;28.06.2014;20;21;47;15;30;28
1379;25.06.2014;39;42;46;26;28;12
1378;21.06.2014;16;52;43;42;1;30
1377;18.06.2014;9;7;41;43;30;46
1376;14.06.2014;31;49;52;17;7;1
1375;11.06.2014;34;36;40;13;7;12
1374;07.06.2014;34;2;48;12;31;35
1373;04.06.2014;1;44;5;10;11;13
1372;31.05.2014;36;50;23;48;30;28
1371;28.05.2014;5;50;26;4;12;47
1370;24.05.2014;34;35;45;26;13;24
1369;21.05.2014;27;46;12;38;9;20
1368;17.05.2014;15;2;12;21;11;50
1367;14.05.2014;12;31;41;18;50;25
1366;10.05.2014;6;25;41;13;31;10
1365;07.05.2014;51;10;27;18;35;9
1364;03.05.2014;42;27;43;28;48;25
1363;30.04.2014;34;9;13;23;42;48
1362;26.04.2014;18;33;4;46;49;50
1361;23.04.2014;32;18;45;37;48;24
1360;19.04.2014;23;30;36;42;14;28
1359;16.04.2014;31;20;32;28;23;36
1358;12.04.2014;20;1;19;26;52;22
1357;09.04.2014;49;5;43;38;21;39
1356;05.04.2014;13;18;51;31;4;5
1355;02.04.2014;40;27;9;35;30;12
1354;29.03.2014;15;37;12;22;43;34
1353;26.03.2014;23;28;30;34;35;33
1352;22.03.2014;46;25;27;51;20;33
1351;19.03.2014;35;49;46;47;45;18
1350;15.03.2014;49;20;9;21;47;15
1349;12.03.2014;51;33;30;31;4;5
1348;08.03.2014;19;47;7;6;43;39
1347;05.03.2014;41;33;26;50;9;32
1346;01.03.2014;16;35;42;6;36;2
1345;26.02.2014;14;8;36;5;35;40
1344;22.02.2014;41;24;34;39;13;44
1343;19.02.2014;5;36;11;4;12;26
1342;15.02.2014;26;13;24;16;30;34
1341;12.02.2014;44;41;18;26;34;51
1340;08.02.2014;6;30;49;11;51;47
1339;05.02.2014;39;46;7;41;31;8
1338;01.02.2014;48;49;25;36;24;16
1337;29.01.2014;13;37;8;52;6;18
1336;25.01.2014;51;39;42;34;15;36
1335;22.01.2014;14;26;37;52;28;36
1334;18.01.2014;51;24;41;40;13;11
1333;15.01.2014;19;12;9;33;18;4
1332;11.01.2014;4;37;50;13;44;15
1331;08.01.2014;26;8;44;10;29;6
1330;04.01.2014;19;37;34;48;5;27
1329;01.01.2014;19;46;52;42;13;5
1328;28.12.2013;43;9;20;39;15;17
1327;25.12.2013;20;24;41;35;1;27
1326;21.12.2013;3;43;15;36;41;7
1325;18.12.2013;4;25;46;51;45;18
1324;14.12.2013;6;48;33;52;12;44
1323;11.12.2013;13;38;2;20;35;51
1322;07.12.2013;24;51;37;46;9;42
1321;04.12.2013;40;29;9;8;41;11
1320;30.11.2013;30;31;26;7;34;41
1319;27.11.2013;26;38;12;20;14;3
1318;23.11.2013;1;28;31;2;30;7
1317;20.11.2013;19;20;41;51;23;46
1316;16.11.2013;40;10;52;15;37;49
1315;13.11.2013;8;1;23;6;35;19
1314;09.11.2013;42;11;5;32;34;39
1313;06.11.2013;33;2;49;50;1;4
1312;02.11.2013;30;33;13;49;26;28
1311;30.10.2013;44;4;45;39;26;41
1310;26.10.2013;42;41;48;27;21;39
1309;23.10.2013;33;43;26;11;37;36
1308;19.10.2013;23;40;43;12;30;9
1307;16.10.2013;4;24;44;3;2;19
1306;12.10.2013;45;5;27;10;18;4
1305;09.10.2013;26;32;31;17;3;27
1304;05.10.2013;8;13;17;51;43;34
1303;02.10.2013;40;36;10;21;28;8
1302;28.09.2013;1;36;34;11;18;16
1301;25.09.2013;38;8;23;13;52;14
1300;21.09.2013;1;12;42;9;17;51
1299;18.09.2013;1;15;22;46;9;47
1298;14.09.2013;50;36;2;48;5;19
1297;11.09.2013;20;35;47;19;40;51
1296;07.09.2013;40;50;31;9;32;19
1295;04.09.2013;48;8;32;51;22;5
1294;31.08.2013;16;26;5;8;47;22
1293;28.08.2013;51;52;34;48;12;10
1292;24.08.2013;52;17;21;35;11;13
1291;21.08.2013;23;41;1;52;48;13
1290;17.08.2013;29;24;45;7;52;17
1289;14.08.2013;2;12;33;9;3;28
1288;10.08.2013;30;48;41;35;15;46
1287;07.08.2013;43;10;27;47;31;9
1286;03.08.2013;49;1;19;34;22;18
1285;31.07.2013;9;30;23;40;48;10
1284;27.07.2013;37;8;28;18;33;4
1283;24.07.2013;27;14;16;18;36;3
1282;20.07.2013;43;48;13;34;2;45
1281;17.07.2013;49;38;19;22;50;33
1280;13.07.2013;39;7;26;10;42;22
1279;10.07.2013;17;33;30;3;41;36
1278;06.07.2013;41;10;28;47;35;29
1277;03.07.2013;38;8;24;5;43;48
1276;29.06.2013;48;50;34;22;14;30
1275;26.06.2013;45;39;32;37;10;24
1274;22.06.2013;27;1;17;6;11;42
1273;19.06.2013;52;28;13;23;34;1
1272;15.06.2013;48;14;29;5;7;16
1271;12.06.2013;26;52;15;23;19;32
1270;08.06.2013;8;9;36;43;17;32
1269;05.06.2013;28;52;24;44;51;35
1268;01.06.2013;31;40;44;46;12;41
1267;29.05.2013;2;8;28;48;46;29
1266;25.05.2013;3;33;36;34;27;46
1265;22.05.2013;4;38;2;10;33;29
1264;18.05.2013;16;26;10;27;1;38
1263;15.05.2013;20;3;34;30;35;48
1262;11.05.2013;24;34;30;1;40;38
1261;08.05.2013;21;27;40;44;13;15
1260;04.05.2013;29;48;12;4;10;19
1259;01.05.2013;10;48;27;30;35;20
1258;27.04.2013;45;18;7;35;51;2
1257;24.04.2013;22;29;13;26;27;31
1256;20.04.2013;44;32;41;46;5;3
1255;17.04.2013;52;50;43;47;26;5
1254;13.04.2013;35;33;41;36;15;14
1253;10.04.2013;45;24;52;17;34;43
1252;06.04.2013;26;23;20;38;6;1
1251;03.04.2013;52;6;40;21;35;2
1250;30.03.2013;21;47;16;44;49;32
1249;27.03.2013;30;20;16;4;39;10
1248;23.03.2013;25;35;26;6;7;13
1247;20.03.2013;35;6;45;42;31;4
1246;16.03.2013;30;41;2;4;44;25
1245;13.03.2013;25;51;11;13;12;9
1244;09.03.2013;51;52;44;42;22;17
1243;06.03.2013;50;45;29;22;47;36
1242;02.03.2013;38;15;41;13;14;20
1241;27.02.2013;15;21;40;28;32;4
1240;23.02.2013;46;11;24;51;5;40
1239;20.02.2013;47;17;40;4;11;31
1238;16.02.2013;11;24;16;7;17;30
1237;13.02.2013;50;51;6;16;24;1
1236;09.02.2013;48;20;32;36;9;15
1235;06.02.2013;9;30;6;7;10;24
1234;02.02.2013;30;33;44;5;13;6
1233;30.01.2013;18;24;45;42;44;46
1232;26.01.2013;29;48;24;51;33;5
1231;23.01.2013;34;46;23;11;50;48
1230;19.01.2013;29;39;20;18;44;21
1229;16.01.2013;24;13;47;8;3;18
1228;12.01.2013;2;36;13;24;25;28
1227;09.01.2013;42;39;35;25;37;5
1226;05.01.2013;4;30;25;45;43;40
1225;02.01.2013;9;41;21;50;27;8
1224;29.12.2012;2;50;6;14;4;51
1223;26.12.2012;25;2;5;40;17;38
1222;22.12.2012;11;25;49;44;20;34
1221;19.12.2012;33;38;44;27;32;30
1220;15.12.2012;21;33;12;38;31;35
1219;12.12.2012;4;26;47;50;42;5
1218;08.12.2012;27;14;19;36;15;47
1217;05.12.2012;26;13;43;19;31;36
1216;01.12.2012;47;4;51;21;5;13
1215;28.11.2012;43;40;1;31;45;46
1214;24.11.2012;21;16;17;4;34;15
1213;21.11.2012;32;45;42;50;15;40
1212;17.11.2012;45;44;51;27;21;33
1211;14.11.2012;19;49;17;11;18;52
1210;10.11.2012;48;22;42;19;9;2
1209;07.11.2012;9;19;17;43;16;49
1208;03.11.2012;51;11;30;52;18;5
1207;31.10.2012;15;12;18;9;45;26
1206;27.10.2012;30;34;41;7;3;31
1205;24.10.2012;7;11;46;32;26;22
1204;20.10.2012;47;41;49;27;11;52
1203;17.10.2012;42;23;15;19;17;45
1202;13.10.2012;31;28;29;13;27;38
1201;10.10.2012;29;23;47;48;42;8
1200;06.10.2012;49;17;52;28;51;11
1199;03.10.2012;40;20;48;21;50;35
1198;29.09.2012;2;29;34;41;25;23
1197;26.09.2012;21;17;31;30;45;43
1196;22.09.2012;33;7;15;43;37;40
1195;19.09.2012;12;30;28;49;13;32
1194;15.09.2012;26;22;18;34;17;44
1193;12.09.2012;15;21;4;12;10;42
1192;08.09.2012;22;50;17;51;18;47
1191;05.09.2012;3;34;30;7;10;28
1190;01.09.2012;7;40;3;37;9;31
1189;29.08.2012;41;30;40;37;1;27
1188;25.08.2012;1;17;43;18;40;2
1187;22.08.2012;3;21;41;2;43;27
1186;18.08.2012;25;42;17;48;8;7
1185;15.08.2012;12;21;1;3;27;33
1184;11.08.2012;3;48;18;35;42;11
1183;08.08.2012;44;27;45;22;3;26
1182;04.08.2012;3;36;43;44;35;7
1181;01.08.2012;4;1;51;42;36;43
1180;28.07.2012;3;38;1;50;45;10
1179;25.07.2012;18;50;26;35;45;24
1178;21.07.2012;21;18;16;19;9;4
1177;18.07.2012;12;51;35;11;9;6
1176;14.07.2012;42;13;28;11;45;31
1175;11.07.2012;48;51;39;36;32;38
1174;07.07.2012;15;39;18;23;28;33
1173;04.07.2012;50;42;38;7;15;23
1172;30.06.2012;10;52;40;16;31;41
1171;27.06.2012;20;21;52;39;9;7
1170;23.06.2012;37;52;3;46;41;4
1169;20.06.2012;18;6;17;38;33;24
1168;16.06.2012;41;6;37;39;23;47
1167;13.06.2012;40;51;23;3;36;46
1166;09.06.2012;22;8;21;7;2;4
1165;06.06.2012;17;8;44;26;10;32
1164;02.06.2012;16;24;41;34;3;51
1163;30.05.2012;38;32;8;48;46;14
1162;26.05.2012;20;52;8;14;13;9
1161;23.05.2012;14;49;17;24;15;16
1160;19.05.2012;30;5;43;12;29;15
1159;16.05.2012;8;29;16;33;20;46
1158;12.05.2012;2;28;13;33;5;21
1157;09.05.2012;21;42;46;8;12;35
1156;05.05.2012;36;31;23;50;5;15
1155;02.05.2012;22;8;34;25;11;52
1154;28.04.2012;15;22;6;10;35;52
1153;25.04.2012;46;17;3;26;35;5
1152;21.04.2012;31;5;4;15;13;12
1151;18.04.2012;8;30;36;44;42;48
1150;14.04.2012;13;46;11;15;6;47
1149;11.04.2012;34;49;30;21;16;19
1148;07.04.2012;10;5;6;8;38;22
1147;04.04.2012;21;24;23;38;6;41
1146;31.03.2012;45;11;4;31;3;2
1145;28.03.2012;22;35;24;3;8;23
1144;24.03.2012;7;33;29;8;36;22
1143;21.03.2012;5;4;24;6;26;11
1142;17.03.2012;30;15;44;13;20;47
1141;14.03.2012;25;7;8;42;33;4
1140;10.03.2012;20;10;23;48;33;18
1139;07.03.2012;15;11;17;48;16;51
1138;03.03.2012;32;48;42;2;11;14
1137;29.02.2012;4;30;41;24;15;34
1136;25.02.2012;31;27;29;9;36;5
1135;22.02.2012;29;18;49;1;19;15
1134;18.02.2012;50;31;19;4;1;48
1133;15.02.2012;34;41;33;6;18;50
1132;11.02.2012;9;38;27;32;15;2
1131;08.02.2012;26;11;2;16;6;25
1130;04.02.2012;42;44;45;14;17;50
1129;01.02.2012;31;12;1;26;18;27
1128;28.01.2012;51;42;8;47;49;24
1127;25.01.2012;32;8;28;16;2;44
1126;21.01.2012;21;30;9;13;42;41
1125;18.01.2012;23;47;42;15;12;52
1124;14.01.2012;52;26;13;21;38;49
1123;11.01.2012;36;7;44;42;23;46
1122;07.01.2012;20;42;17;45;18;13
1121;04.01.2012;46;6;41;28;52;13
1120;31.12.2011;7;21;8;32;6;9
1119;28.12.2011;28;15;47;26;13;7
1118;24.12.2011;34;46;4;3;32;21
