game;date;ball1;ball2;ball3;ball4;ball5;ball6
1117;21.12.2011;15;31;20;6;48;5
1116;17.12.2011;39;41;5;47;35;43
1115;14.12.2011;10;49;33;28;14;23
1114;10.12.2011;22;23;39;46;11;21
1113;07.12.2011;22;24;50;46;47;33
1112;03.12.2011;9;2;52;20;41;1
1111;30.11.2011;49;11;32;15;26;4
1110;26.11.2011;39;10;20;22;21;11
1109;23.11.2011;15;29;10;31;41;2
1108;19.11.2011;20;5;4;48;39;32
1107;16.11.2011;12;7;51;18;15;22
1106;12.11.2011;34;23;7;18;46;33
1105;09.11.2011;15;4;40;6;31;24
1104;05.11.2011;24;12;17;30;51;47
1103;02.11.2011;34;20;14;40;2;18
1102;29.10.2011;17;30;6;15;11;35
1101;26.10.2011;37;19;15;16;27;22
1100;22.10.2011;30;1;11;7;14;44
1099;19.10.2011;23;2;14;19;32;6
1098;15.10.2011;21;50;25;34;37;29
1097;12.10.2011;7;10;41;29;15;43
1096;08.10.2011;18;46;34;52;10;40
1095;05.10.2011;6;1;14;21;45;47
1094;01.10.2011;3;27;41;32;25;8
1093;28.09.2011;43;51;6;20;14;16
1092;24.09.2011;47;46;2;27;40;33
1091;21.09.2011;29;43;37;48;21;11
1090;17.09.2011;33;1;30;24;4;25
1089;14.09.2011;29;51;6;38;19;47
1088;10.09.2011;19;47;6;2;52;45
1087;07.09.2011;6;15;33;14;29;21
1086;03.09.2011;33;44;23;10;29;42
1085;31.08.2011;2;45;23;18;5;1
1084;27.08.2011;27;45;1;28;49;10
1083;24.08.2011;33;3;14;23;26;35
1082;20.08.2011;47;10;38;49;5;29
1081;17.08.2011;18;24;33;22;6;14
1080;13.08.2011;20;24;31;5;45;51
1079;10.08.2011;9;34;45;8;39;24
1078;06.08.2011;12;50;10;8;52;47
1077;03.08.2011;42;18;52;7;19;6
1076;30.07.2011;16;31;3;32;25;8
1075;27.07.2011;14;46;27;10;38;29
1074;23.07.2011;45;7;28;30;26;43
1073;20.07.2011;26;37;34;47;41;19
1072;16.07.2011;51;6;42;52;9;22
1071;13.07.2011;7;1;19;6;52;13
1070;09.07.2011;35;42;15;19;14;33
1069;06.07.2011;10;27;6;14;17;51
1068;02.07.2011;18;14;10;20;30;5
1067;29.06.2011;19;45;4;42;21;52
1066;25.06.2011;14;51;45;34;46;41
1065;22.06.2011;31;29;17;35;41;15
1064;18.06.2011;29;44;46;2;3;13
1063;15.06.2011;28;46;38;32;26;42
1062;11.06.2011;13;26;8;5;16;2
1061;08.06.2011;5;51;24;37;7;42
1060;04.06.2011;41;46;12;52;14;35
1059;01.06.2011;10;7;34;48;42;9
1058;28.05.2011;25;24;18;17;20;21
1057;25.05.2011;21;17;3;41;33;2
1056;21.05.2011;6;7;24;9;4;3
1055;18.05.2011;23;52;24;48;49;2
1054;14.05.2011;15;49;9;4;43;10
1053;11.05.2011;26;24;10;42;1;5
1052;07.05.2011;52;7;33;4;50;5
1051;04.05.2011;11;4;24;28;16;20
1050;30.04.2011;17;50;13;18;21;16
1049;27.04.2011;18;5;25;52;46;38
1048;23.04.2011;10;12;22;46;32;52
1047;20.04.2011;4;37;45;26;50;14
1046;16.04.2011;42;23;22;9;27;5
1045;13.04.2011;38;8;4;52;44;9
1044;09.04.2011;49;27;38;16;5;36
1043;06.04.2011;36;41;29;18;14;51
1042;02.04.2011;41;45;23;35;34;30
1041;30.03.2011;27;9;8;35;33;51
1040;26.03.2011;51;20;9;1;17;7
1039;23.03.2011;22;5;13;36;47;39
1038;19.03.2011;3;31;48;46;24;35
1037;16.03.2011;22;5;15;51;36;38
1036;12.03.2011;51;10;33;49;22;16
1035;09.03.2011;14;9;43;10;33;2
1034;05.03.2011;28;52;7;10;47;5
1033;02.03.2011;28;32;24;51;4;22
1032;26.02.2011;12;27;31;7;6;44
1031;23.02.2011;12;5;20;26;19;15
1030;19.02.2011;14;35;5;19;30;4
1029;16.02.2011;33;10;14;50;11;26
1028;12.02.2011;37;18;2;1;43;33
1027;09.02.2011;48;49;4;16;23;33
1026;05.02.2011;1;37;15;18;27;30
1025;02.02.2011;42;24;17;35;33;25
1024;29.01.2011;36;22;51;14;16;9
1023;26.01.2011;46;17;15;3;14;49
1022;22.01.2011;7;38;2;25;47;52
1021;19.01.2011;5;35;22;41;6;25
1020;15.01.2011;43;42;14;17;37;30
1019;12.01.2011;41;15;11;2;19;17
1018;08.01.2011;16;26;43;35;10;4
1017;05.01.2011;33;42;46;30;19;14
1016;01.01.2011;43;9;13;25;33;5
1015;29.12.2010;30;35;18;15;19;51
1014;25.12.2010;40;52;22;12;47;27
1013;22.12.2010;3;46;1;34;11;24
1012;18.12.2010;33;51;20;23;31;35
1011;15.12.2010;23;4;28;31;32;35
1010;11.12.2010;21;46;19;52;40;12
1009;08.12.2010;30;45;52;12;17;1
1008;04.12.2010;17;29;31;30;47;43
1007;01.12.2010;34;47;10;5;39;8
1006;27.11.2010;42;30;17;41;11;34
1005;24.11.2010;27;37;34;25;13;50
1004;20.11.2010;49;11;30;20;13;40
1003;17.11.2010;45;24;31;26;28;6
1002;13.11.2010;15;42;38;20;16;25
1001;10.11.2010;13;24;17;50;26;12
1000;06.11.2010;9;52;27;6;39;13
999;03.11.2010;30;9;36;27;28;11
998;30.10.2010;16;40;33;3;49;36
997;27.10.2010;31;51;4;48;10;12
996;23.10.2010;12;1;50;37;7;11
995;20.10.2010;27;46;42;20;14;34
994;16.10.2010;17;39;27;47;31;3
993;13.10.2010;34;4;52;13;11;17
992;09.10.2010;11;39;18;1;6;35
991;06.10.2010;52;29;49;42;18;7
990;02.10.2010;51;50;42;32;23;5
989;29.09.2010;41;36;28;26;47;32
988;25.09.2010;16;20;15;14;11;23
987;22.09.2010;32;28;31;37;34;50
986;18.09.2010;52;16;40;38;3;24
985;15.09.2010;14;24;13;19;5;35
984;11.09.2010;50;5;15;43;23;12
983;08.09.2010;2;8;36;28;50;15
982;04.09.2010;5;15;37;22;44;7
981;01.09.2010;34;12;20;36;25;16
980;28.08.2010;4;38;10;46;16;26
979;25.08.2010;50;37;10;40;35;15
978;21.08.2010;17;36;38;45;34;15
977;18.08.2010;22;4;36;18;45;50
976;14.08.2010;36;25;50;12;16;4
975;11.08.2010;7;4;28;45;39;36
974;07.08.2010;18;22;23;39;16;40
973;04.08.2010;16;5;4;39;36;6
972;31.07.2010;38;17;40;23;14;31
971;28.07.2010;43;13;39;20;5;30
970;24.07.2010;39;31;6;25;44;48
969;21.07.2010;41;2;22;15;12;23
968;17.07.2010;5;50;22;47;43;20
967;14.07.2010;34;50;22;3;51;17
966;10.07.2010;31;8;45;50;18;4
965;07.07.2010;28;35;25;9;3;21
964;03.07.2010;51;20;52;50;6;2
963;30.06.2010;37;1;32;10;52;48
962;26.06.2010;25;18;15;29;51;50
961;23.06.2010;37;31;38;15;45;33
960;19.06.2010;5;46;16;21;47;9
959;16.06.2010;34;44;46;18;13;8
958;12.06.2010;1;33;49;39;48;30
957;09.06.2010;12;22;37;23;17;19
956;05.06.2010;25;22;29;52;20;18
955;02.06.2010;45;43;19;28;7;52
954;29.05.2010;9;32;40;29;16;48
953;26.05.2010;3;13;34;25;40;51
952;22.05.2010;41;5;21;43;36;27
951;19.05.2010;12;6;10;5;28;2
950;15.05.2010;35;19;51;44;8;11
949;12.05.2010;14;24;25;1;38;39
948;08.05.2010;2;31;32;50;22;51
947;05.05.2010;29;19;48;1;30;11
946;01.05.2010;39;17;27;36;19;40
945;28.04.2010;29;5;36;32;43;12
944;24.04.2010;15;16;6;38;3;14
943;21.04.2010;11;31;19;6;38;30
942;17.04.2010;42;26;3;13;40;20
941;14.04.2010;28;45;21;27;5;16
940;10.04.2010;44;23;48;5;14;8
939;07.04.2010;22;26;47;25;27;48
938;03.04.2010;16;33;3;17;1;5
937;31.03.2010;35;18;22;5;27;12
936;27.03.2010;20;9;16;36;52;24
935;24.03.2010;16;20;23;25;3;33
934;20.03.2010;14;25;20;2;34;19
933;17.03.2010;44;7;40;5;27;3
932;13.03.2010;50;47;42;34;11;6
931;10.03.2010;15;25;37;33;35;23
930;06.03.2010;24;15;34;4;19;42
929;03.03.2010;42;7;2;25;36;21
928;27.02.2010;46;42;3;23;24;31
927;24.02.2010;41;10;15;25;51;8
926;20.02.2010;19;6;32;44;18;20
925;17.02.2010;26;30;27;31;35;50
924;13.02.2010;14;15;31;52;37;5
923;10.02.2010;32;4;38;31;14;19
922;06.02.2010;4;14;28;43;6;8
921;03.02.2010;36;44;23;3;21;22
920;30.01.2010;3;9;14;20;43;33
919;27.01.2010;40;27;10;26;44;6
918;23.01.2010;23;25;3;21;37;40
917;20.01.2010;5;14;47;3;32;42
916;16.01.2010;15;48;30;17;4;7
915;13.01.2010;20;4;23;11;44;1
914;09.01.2010;35;42;17;31;14;36
913;06.01.2010;15;29;48;3;11;1
912;02.01.2010;19;51;22;45;7;35
911;30.12.2009;44;38;48;52;11;42
910;26.12.2009;32;14;34;24;50;22
909;23.12.2009;51;37;16;29;5;41
908;19.12.2009;32;18;52;16;30;31
907;16.12.2009;36;8;37;35;23;50
906;12.12.2009;34;36;26;13;23;44
905;09.12.2009;2;48;33;44;29;23
904;05.12.2009;37;50;16;6;19;42
903;02.12.2009;6;45;35;17;14;27
902;28.11.2009;21;31;30;14;40;6
901;25.11.2009;50;19;32;46;3;12
900;21.11.2009;38;27;46;50;10;45
899;18.11.2009;15;50;34;51;20;18
898;14.11.2009;20;7;28;51;33;29
897;11.11.2009;36;20;25;5;21;43
896;07.11.2009;33;43;45;4;52;5
895;04.11.2009;17;52;44;6;45;32
894;31.10.2009;32;52;22;49;42;21
893;28.10.2009;26;38;19;1;13;18
892;24.10.2009;32;34;20;17;31;38
891;21.10.2009;13;35;18;37;36;33
890;17.10.2009;35;42;50;31;6;22
889;14.10.2009;27;13;45;10;38;18
888;10.10.2009;31;14;44;21;33;4
887;07.10.2009;28;8;51;38;21;9
886;03.10.2009;28;5;11;43;49;15
885;30.09.2009;31;42;9;10;35;20
884;26.09.2009;11;27;38;33;39;5
883;23.09.2009;52;33;16;51;39;41
882;19.09.2009;33;48;7;10;43;42
881;16.09.2009;9;5;32;22;8;17
880;12.09.2009;15;48;29;12;30;24
879;09.09.2009;26;31;46;9;18;20
878;05.09.2009;1;5;16;11;41;42
877;02.09.2009;16;42;13;22;24;48
876;29.08.2009;19;15;43;5;28;31
875;26.08.2009;2;18;7;4;25;34
874;22.08.2009;16;9;7;22;28;45
873;19.08.2009;32;37;41;29;21;31
872;15.08.2009;25;43;30;18;7;52
871;12.08.2009;48;1;14;50;12;29
870;08.08.2009;19;15;36;25;33;20
869;05.08.2009;51;38;37;7;2;52
868;01.08.2009;46;4;10;29;41;15
867;29.07.2009;19;15;37;25;23;50
866;25.07.2009;18;25;17;21;16;7
865;22.07.2009;31;34;12;20;3;26
864;18.07.2009;36;43;28;44;10;17
863;15.07.2009;43;14;45;18;42;32
862;11.07.2009;47;36;32;26;19;52
861;08.07.2009;33;29;28;22;41;3
860;04.07.2009;12;24;25;30;20;35
859;01.07.2009;12;2;32;15;46;31
858;27.06.2009;8;34;49;25;18;28
857;24.06.2009;52;29;51;1;6;26
856;20.06.2009;18;28;46;49;13;33
855;17.06.2009;28;18;21;44;11;20
854;13.06.2009;5;26;14;49;21;1
853;10.06.2009;28;20;37;18;1;13
852;06.06.2009;17;19;38;12;21;5
851;03.06.2009;13;48;32;38;34;45
850;30.05.2009;46;21;16;45;52;9
849;27.05.2009;29;15;25;49;31;35
848;23.05.2009;4;26;24;7;51;42
847;20.05.2009;19;28;4;50;21;37
846;16.05.2009;12;26;52;47;28;10
845;13.05.2009;15;18;36;37;49;1
844;09.05.2009;13;20;30;36;37;2
843;06.05.2009;20;11;1;22;33;29
842;02.05.2009;23;22;29;45;37;44
841;29.04.2009;30;38;1;52;2;5
840;25.04.2009;27;48;20;10;30;45
839;22.04.2009;3;24;50;19;40;52
838;18.04.2009;3;34;24;26;37;47
837;15.04.2009;3;51;27;36;32;52
836;11.04.2009;29;37;30;49;46;47
835;08.04.2009;4;30;51;6;24;47
834;04.04.2009;8;41;17;42;40;51
833;01.04.2009;42;9;29;52;32;50
832;28.03.2009;44;29;34;22;32;8
831;25.03.2009;38;27;21;36;44;19
830;21.03.2009;19;17;33;34;32;51
829;18.03.2009;51;46;5;21;35;42
828;14.03.2009;14;10;37;26;35;11
827;11.03.2009;14;42;50;40;8;44
826;07.03.2009;20;23;34;27;31;17
825;04.03.2009;36;15;1;5;50;23
824;28.02.2009;18;12;38;24;45;26
823;25.02.2009;36;28;19;41;38;14
822;21.02.2009;36;26;3;9;37;34
821;18.02.2009;38;11;46;6;35;49
820;14.02.2009;7;42;22;11;23;34
819;11.02.2009;27;17;29;16;24;46
818;07.02.2009;30;17;32;27;20;52
817;04.02.2009;30;16;44;46;13;42
816;31.01.2009;39;42;29;40;15;32
815;28.01.2009;1;34;52;33;32;49
814;24.01.2009;30;31;6;34;38;21
813;21.01.2009;13;8;17;45;14;28
812;17.01.2009;52;15;25;7;47;38
811;14.01.2009;37;2;47;28;18;50
810;10.01.2009;17;19;29;2;47;42
809;07.01.2009;5;41;29;15;48;1
808;03.01.2009;18;7;46;22;43;50
807;31.12.2008;17;1;46;35;27;2
806;27.12.2008;13;14;36;15;41;50
805;24.12.2008;44;6;52;12;51;16
804;20.12.2008;43;30;26;23;47;5
803;17.12.2008;38;13;44;16;4;48
802;13.12.2008;25;52;22;7;35;47
801;10.12.2008;3;48;9;20;37;44
800;06.12.2008;6;5;17;2;14;1
799;03.12.2008;38;7;10;48;21;39
798;29.11.2008;52;15;6;22;50;1
797;26.11.2008;9;48;11;49;46;14
